               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11766,            0.049715,                   0,            0.038394,            0.060606,            0.006254,          0.00089066,            0.078463,            0.031723,                   0,               3e-05,               3e-05,             0.09973
                   1,             0.12159,            0.046956,                   0,            0.029012,            0.060606,           0.0062897,           0.0010264,            0.075796,             0.03079,                   0,          6.9998e-05,          6.9998e-05,             0.09937
                   2,             0.11419,            0.045738,                   0,            0.026144,            0.090909,           0.0055975,           0.0012943,            0.071969,            0.030582,                   0,          0.00010999,          0.00010999,             0.09901
                   3,             0.11315,            0.045483,                   0,            0.020148,             0.15152,           0.0096109,           0.0016185,            0.067924,            0.031078,                   0,          0.00014997,          0.00014997,             0.09865
                   4,             0.10561,            0.045736,                   0,            0.017683,            0.090909,           0.0084124,           0.0014665,            0.064162,            0.032094,                   0,          0.00018993,          0.00018993,             0.09829
                   5,              0.1043,             0.04609,                   0,            0.015361,             0.21212,           0.0091041,           0.0019431,            0.060488,            0.033238,                   0,          0.00022986,          0.00022986,             0.09793
                   6,            0.097894,            0.042013,                   0,            0.017111,             0.27273,            0.011324,           0.0028135,            0.057433,            0.034077,                   0,          0.00026976,          0.00026976,             0.09757
                   7,            0.094134,            0.040523,                   0,            0.020115,             0.15152,            0.012319,           0.0030268,            0.054486,            0.034945,                   0,          0.00030963,          0.00030963,             0.09721
                   8,             0.09134,            0.041787,                   0,              0.2067,            0.060606,            0.028968,           0.0067861,            0.053097,            0.035381,                   0,          0.00034945,          0.00034945,            0.096849
                   9,            0.091155,            0.051836,                   0,             0.24685,             0.15152,            0.090704,            0.014098,            0.053052,            0.034937,                   0,          0.00038922,          0.00038922,            0.096489
                  10,             0.08494,            0.050832,                   0,             0.49497,             0.15152,             0.13157,            0.029553,            0.052156,            0.034473,                   0,          0.00042894,          0.00042894,            0.096129
                  11,            0.078516,            0.048163,                   0,             0.49942,             0.15152,              0.1678,            0.032044,            0.051344,            0.033939,                   0,           0.0004686,           0.0004686,            0.095769
                  12,            0.085196,            0.045168,                   0,              0.6102,             0.15152,             0.17402,            0.042276,            0.050431,            0.033361,                   0,          0.00050819,          0.00050819,            0.095408
                  13,            0.076929,            0.048585,                   0,             0.38508,             0.21212,             0.20143,            0.035255,            0.049587,            0.032507,                   0,          0.00054771,          0.00054771,            0.095048
                  14,            0.076502,            0.042245,                   0,             0.51294,             0.27273,             0.25245,            0.059614,            0.048306,            0.031574,                   0,          0.00058715,          0.00058715,            0.094687
                  15,            0.072909,            0.049015,                   0,             0.37452,             0.42424,             0.29727,            0.068041,            0.046345,              0.0312,                   0,          0.00062651,          0.00062651,            0.094327
                  16,            0.075195,            0.047606,                   0,             0.41466,             0.60606,             0.35458,            0.088308,            0.045268,            0.030487,                   0,          0.00066578,          0.00066578,            0.093966
                  17,            0.074253,            0.041085,                   0,             0.47635,             0.63407,             0.46326,              0.1096,            0.044024,            0.029804,                   0,          0.00070495,          0.00070495,            0.093605
                  18,            0.070817,            0.045906,                   0,             0.45607,             0.78766,             0.51624,             0.10524,            0.042795,            0.028866,                   0,          0.00074402,          0.00074402,            0.093244
                  19,            0.069748,            0.046434,                   0,             0.41563,             0.75758,              0.5291,             0.13875,            0.041149,            0.028081,                   0,          0.00078299,          0.00078299,            0.092883
                  20,            0.065581,            0.040882,                   0,             0.42639,             0.72727,             0.50768,             0.10862,            0.041401,             0.02757,                   0,          0.00082184,          0.00082184,            0.092522
                  21,            0.058653,            0.031166,                   0,             0.52684,             0.57576,             0.46894,             0.12197,            0.040421,            0.027742,                   0,          0.00086057,          0.00086057,            0.092161
                  22,            0.060345,            0.036965,                   0,             0.62688,             0.51515,              0.5465,             0.17303,            0.038404,            0.027953,                   0,          0.00089918,          0.00089918,            0.091799
                  23,            0.057038,             0.04483,                   0,             0.56134,             0.54545,              0.4847,             0.12746,            0.038122,            0.028708,                   0,          0.00093766,          0.00093766,            0.091438
                  24,            0.056149,            0.040385,                   0,             0.47979,             0.72667,             0.56999,             0.14654,            0.036929,            0.028037,                   0,            0.000976,            0.000976,            0.091076
                  25,            0.054696,            0.039652,                   0,             0.66539,              0.6027,             0.68308,             0.17084,            0.033083,            0.027073,                   0,           0.0010142,           0.0010142,            0.090714
                  26,            0.058879,            0.029927,                   0,             0.73529,             0.60606,              0.7093,              0.1865,            0.032755,            0.026159,                   0,           0.0010523,           0.0010523,            0.090352
                  27,            0.054378,            0.031724,                   0,             0.71912,             0.63636,             0.76323,             0.22222,            0.032719,            0.024975,                   0,           0.0010902,           0.0010902,             0.08999
                  28,            0.047183,            0.031814,                   0,              0.6337,             0.78639,             0.75741,             0.23639,            0.030396,            0.023373,                   0,           0.0011279,           0.0011279,            0.089628
                  29,            0.049446,            0.040357,                   0,             0.67458,             0.81818,             0.78845,             0.30589,            0.030789,            0.023186,                   0,           0.0011655,           0.0011655,            0.089265
                  30,            0.049808,            0.037792,                   0,             0.63937,             0.75758,             0.62288,             0.31368,            0.032573,            0.022507,                   0,           0.0012029,           0.0012029,            0.088903
                  31,            0.051518,            0.032368,                   0,             0.81793,             0.81818,             0.89673,             0.44985,            0.026631,            0.020959,                   0,           0.0012401,           0.0012401,             0.08854
                  32,             0.04748,              0.0316,                   0,             0.93527,             0.87577,             0.93975,              0.3557,            0.026433,            0.020129,                   0,           0.0012772,           0.0012772,            0.088177
                  33,            0.044653,            0.030798,                   0,             0.89966,             0.81519,             0.92015,             0.51203,            0.024593,            0.019757,                   0,           0.0013141,           0.0013141,            0.087814
                  34,            0.047482,            0.025785,                   0,             0.82717,             0.72522,             0.80169,             0.20384,            0.026474,            0.018864,                   0,           0.0013508,           0.0013508,            0.087451
                  35,            0.041126,            0.033003,                   0,             0.72148,             0.81818,             0.81045,             0.26348,             0.02837,             0.01854,                   0,           0.0013873,           0.0013873,            0.087087
                  36,            0.044802,            0.026619,                   0,             0.83762,             0.93794,             0.94983,             0.53223,             0.02825,            0.017708,                   0,           0.0014235,           0.0014235,            0.086724
                  37,            0.045131,             0.02451,                   0,             0.78536,                   1,             0.93938,             0.45161,            0.026517,            0.016417,                   0,           0.0014596,           0.0014596,             0.08636
                  38,            0.052161,            0.025764,                   0,             0.65168,              0.9697,             0.84256,             0.33682,            0.025967,            0.016019,                   0,           0.0014955,           0.0014955,            0.085995
                  39,            0.047768,              0.0273,                   0,             0.77743,             0.84848,             0.81827,             0.39304,            0.026563,            0.015932,                   0,           0.0015312,           0.0015312,            0.085631
                  40,            0.046389,            0.026614,                   0,             0.76676,             0.99628,             0.87406,             0.58036,             0.02076,            0.015446,                   0,           0.0015666,           0.0015666,            0.085267
                  41,            0.044095,            0.025668,                   0,             0.89557,             0.78788,             0.93443,             0.43604,            0.033998,             0.01605,                   0,           0.0016018,           0.0016018,            0.084902
                  42,            0.050366,             0.02453,                   0,             0.62464,             0.75644,              0.6289,             0.29897,            0.051261,            0.015726,                   0,           0.0016368,           0.0016368,            0.084537
                  43,            0.062503,            0.022225,                   0,             0.37917,                   1,             0.50902,              0.2249,             0.03925,            0.015434,                   0,           0.0016715,           0.0016715,            0.084172
                  44,            0.060358,            0.028739,                   0,             0.65115,             0.84843,             0.76183,             0.28206,            0.032321,            0.015557,                   0,            0.001706,            0.001706,            0.083806
                  45,            0.056628,            0.030273,                   0,             0.58314,             0.81818,             0.73825,             0.28796,            0.043327,              0.0148,                   0,           0.0017402,           0.0017402,             0.08344
                  46,            0.060856,            0.025123,                   0,             0.28364,             0.81818,             0.29486,              0.1183,            0.053391,            0.016239,                   0,           0.0017742,           0.0017742,            0.083074
                  47,            0.067983,            0.022448,                   0,             0.50964,             0.78738,             0.60281,             0.17426,            0.058964,            0.015518,                   0,            0.001808,            0.001808,            0.082708
