               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12832,             0.04252,                   0,            0.015968,            0.090909,           0.0071124,           0.0011157,            0.080096,            0.032545,                   0,               3e-05,               3e-05,             0.09973
                   1,             0.11769,            0.050215,                   0,             0.01278,             0.12121,           0.0069227,           0.0011093,            0.076994,            0.032971,                   0,          6.9996e-05,          6.9996e-05,             0.09937
                   2,             0.11355,            0.051628,                   0,            0.018467,             0.15152,            0.010655,           0.0016032,            0.074074,            0.033596,                   0,          0.00010998,          0.00010998,             0.09901
                   3,             0.10777,            0.050708,                   0,            0.016186,             0.12121,            0.011094,           0.0018285,            0.068582,            0.035159,                   0,          0.00014993,          0.00014993,             0.09865
                   4,            0.097224,            0.046866,                   0,            0.022895,             0.30303,            0.014056,           0.0019899,            0.061231,            0.037647,                   0,          0.00018983,          0.00018983,             0.09829
                   5,            0.087898,            0.054229,                   0,             0.03477,             0.21212,            0.023302,           0.0030312,            0.055385,            0.039425,                   0,          0.00022968,          0.00022968,             0.09793
                   6,            0.081422,            0.055733,                   0,             0.04465,             0.18182,            0.026315,           0.0036695,            0.050788,            0.040676,                   0,          0.00026946,          0.00026946,            0.097569
                   7,            0.077018,            0.056404,                   0,             0.14333,             0.12121,            0.050977,            0.009358,            0.048613,            0.040864,                   0,          0.00030916,          0.00030916,            0.097209
                   8,            0.076034,              0.0568,                   0,             0.30352,             0.12121,            0.083346,            0.016608,            0.047218,            0.040518,                   0,          0.00034876,          0.00034876,            0.096849
                   9,            0.071758,            0.055188,                   0,             0.27517,             0.12121,             0.12058,            0.034471,            0.045956,            0.039974,                   0,          0.00038825,          0.00038825,            0.096488
                  10,            0.071564,            0.051561,                   0,             0.19214,             0.24242,              0.1926,            0.049022,            0.043658,            0.039635,                   0,          0.00042762,          0.00042762,            0.096128
                  11,            0.062249,            0.051577,                   0,             0.19188,             0.69697,             0.27825,            0.068085,            0.039406,            0.039617,                   0,          0.00046685,          0.00046685,            0.095767
                  12,             0.06668,            0.045889,                   0,             0.39324,             0.72727,             0.46255,             0.13289,            0.037061,             0.03824,                   0,          0.00050593,          0.00050593,            0.095406
                  13,            0.061274,            0.046623,                   0,               0.532,             0.72345,             0.57049,             0.17837,             0.03532,            0.036355,                   0,          0.00054486,          0.00054486,            0.095045
                  14,            0.064892,            0.054001,                   0,             0.47994,             0.75758,             0.53594,             0.17562,            0.034929,            0.033607,                   0,          0.00058361,          0.00058361,            0.094684
                  15,            0.058984,            0.053457,                   0,             0.70583,             0.72708,             0.69599,             0.29973,            0.032352,             0.03138,                   0,          0.00062217,          0.00062217,            0.094322
                  16,             0.05802,            0.044572,                   0,             0.63403,             0.78788,             0.71304,             0.26828,            0.032758,            0.029772,                   0,          0.00066053,          0.00066053,            0.093961
                  17,            0.054131,            0.043491,                   0,             0.83324,             0.75709,             0.78969,             0.43413,            0.030661,             0.02875,                   0,          0.00069868,          0.00069868,            0.093599
                  18,            0.051149,            0.043213,                   0,             0.84272,             0.81818,             0.86921,             0.58844,            0.028316,            0.028275,                   0,           0.0007366,           0.0007366,            0.093237
                  19,            0.051405,            0.040824,                   0,             0.81508,             0.81818,             0.83626,             0.39116,            0.028545,            0.028797,                   0,          0.00077428,          0.00077428,            0.092874
                  20,            0.047788,            0.034712,                   0,             0.74924,             0.72727,             0.79424,             0.48288,            0.028462,            0.029449,                   0,          0.00081172,          0.00081172,            0.092512
                  21,            0.050271,            0.041009,                   0,             0.91658,             0.66593,             0.83295,             0.40462,            0.028375,            0.028099,                   0,          0.00084889,          0.00084889,            0.092149
                  22,            0.041034,            0.033102,                   0,             0.99999,             0.78788,             0.92112,             0.33294,            0.027149,            0.027611,                   0,          0.00088579,          0.00088579,            0.091786
                  23,            0.045743,            0.037553,                   0,             0.88454,             0.69649,             0.83234,             0.31616,             0.03089,            0.026206,                   0,           0.0009224,           0.0009224,            0.091422
                  24,            0.046181,            0.031425,                   0,             0.91564,             0.66667,             0.83504,             0.37465,            0.025256,            0.023742,                   0,          0.00095872,          0.00095872,            0.091059
                  25,            0.044586,            0.026234,                   0,             0.90296,             0.84848,             0.92848,              0.5102,            0.027055,            0.021495,                   0,          0.00099472,          0.00099472,            0.090695
                  26,            0.051375,            0.026414,                   0,             0.83305,             0.90909,             0.88384,             0.28698,            0.027747,            0.020534,                   0,           0.0010304,           0.0010304,             0.09033
                  27,            0.044447,            0.029838,                   0,             0.90907,             0.90883,              0.9708,             0.67621,            0.020267,            0.019125,                   0,           0.0010657,           0.0010657,            0.089966
                  28,            0.045284,            0.026668,                   0,              0.9652,             0.84848,             0.95874,             0.54036,            0.024185,             0.01879,                   0,           0.0011007,           0.0011007,            0.089601
                  29,            0.039412,            0.031217,                   0,             0.97025,                   1,             0.98706,             0.63656,            0.018487,            0.017719,                   0,           0.0011354,           0.0011354,            0.089235
                  30,            0.041894,            0.025565,                   0,             0.77061,             0.81451,             0.86669,             0.45691,            0.027163,            0.017286,                   0,           0.0011697,           0.0011697,             0.08887
                  31,            0.043562,            0.027517,                   0,             0.68174,             0.90879,             0.78024,             0.54001,             0.03114,            0.016925,                   0,           0.0012036,           0.0012036,            0.088504
                  32,            0.045408,            0.028277,                   0,             0.74985,             0.90909,             0.89941,             0.60704,            0.028021,            0.016212,                   0,           0.0012371,           0.0012371,            0.088137
                  33,            0.038421,            0.024786,                   0,             0.89185,             0.99962,             0.96885,             0.65304,            0.025589,            0.015653,                   0,           0.0012702,           0.0012702,             0.08777
                  34,            0.041768,            0.024712,                   0,             0.60371,             0.87713,             0.73862,             0.42824,             0.02878,            0.015638,                   0,           0.0013029,           0.0013029,            0.087403
                  35,            0.051701,            0.022618,                   0,             0.64502,             0.93939,             0.84507,             0.50186,            0.028457,            0.014542,                   0,           0.0013352,           0.0013352,            0.087035
                  36,            0.049131,            0.026171,                   0,             0.91667,                   1,             0.96703,             0.70442,             0.01683,            0.014393,                   0,            0.001367,            0.001367,            0.086667
