               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082982,            0.020474,                   0,             0.34024,             0.37843,             0.27111,             0.07568,            0.062802,            0.013045,                   0,           0.0033293,           0.0033293,            0.070036
                   1,            0.064594,            0.015192,                   0,             0.51032,             0.45704,             0.43177,             0.13475,            0.060817,            0.010777,                   0,           0.0066596,           0.0066596,            0.040033
                   2,             0.06271,            0.014595,                   0,             0.51641,             0.47745,             0.44227,             0.13479,            0.060235,            0.010827,                   0,           0.0099779,           0.0099779,            0.010018
                   3,            0.061718,            0.014502,                   0,             0.48308,             0.47303,             0.42296,             0.12241,            0.060049,            0.011024,                   0,           0.0099593,           0.0099593,           0.0099593
                   4,            0.060157,            0.014379,                   0,             0.60183,             0.51017,             0.52823,             0.16526,            0.056481,            0.010572,                   0,           0.0099593,           0.0099593,           0.0099593
                   5,            0.058742,            0.014339,                   0,             0.65091,             0.49867,             0.52736,             0.17441,             0.05644,            0.010186,                   0,           0.0099277,           0.0099277,           0.0099277
                   6,            0.057023,            0.013592,                   0,             0.66067,             0.50398,             0.54666,             0.17758,            0.056192,            0.009847,                   0,           0.0098872,           0.0098872,           0.0098872
                   7,            0.056009,            0.013442,                   0,             0.70618,             0.56764,             0.61544,             0.20103,            0.054209,           0.0098435,                   0,           0.0098378,           0.0098378,           0.0098378
                   8,             0.05504,            0.013365,                   0,             0.60059,             0.53581,             0.51961,             0.16623,            0.055516,            0.010001,                   0,           0.0097798,           0.0097798,           0.0097798
                   9,            0.054154,            0.013228,                   0,              0.6577,               0.542,             0.57416,             0.19258,            0.055474,           0.0099073,                   0,           0.0097131,           0.0097131,           0.0097131
                  10,             0.05334,            0.013054,                   0,             0.69353,             0.58002,             0.60941,             0.21114,            0.053467,           0.0093589,                   0,           0.0096379,           0.0096379,           0.0096379
                  11,             0.05297,            0.012941,                   0,             0.71321,             0.60028,             0.61496,             0.20627,            0.053954,           0.0093041,                   0,           0.0095544,           0.0095544,           0.0095544
                  12,            0.052328,            0.012715,                   0,             0.65872,             0.61008,             0.61063,             0.20547,             0.05419,           0.0092454,                   0,           0.0094627,           0.0094627,           0.0094627
                  13,            0.051673,            0.012497,                   0,             0.74341,             0.54553,             0.61704,             0.21028,            0.053691,           0.0091858,                   0,            0.009363,            0.009363,            0.009363
                  14,            0.051354,            0.012404,                   0,             0.68133,             0.60035,             0.62765,              0.2084,            0.053517,           0.0092093,                   0,           0.0092556,           0.0092556,           0.0092556
                  15,            0.051066,             0.01244,                   0,             0.71426,             0.62423,              0.6589,              0.2268,            0.052727,           0.0091865,                   0,           0.0091406,           0.0091406,           0.0091406
                  16,            0.050558,            0.012429,                   0,             0.71942,             0.54465,             0.60337,             0.20939,            0.054243,           0.0092133,                   0,           0.0090182,           0.0090182,           0.0090182
                  17,            0.049766,            0.012222,                   0,             0.68778,             0.60379,             0.62698,             0.21599,            0.052935,           0.0091077,                   0,           0.0088888,           0.0088888,           0.0088888
                  18,            0.049186,            0.012036,                   0,             0.70398,             0.56562,             0.61051,             0.21513,            0.052969,           0.0093467,                   0,           0.0087526,           0.0087526,           0.0087526
                  19,            0.048988,            0.012109,                   0,             0.72825,             0.61981,              0.6628,             0.23561,            0.051639,           0.0089091,                   0,           0.0086098,           0.0086098,           0.0086098
                  20,            0.048612,             0.01192,                   0,             0.72486,             0.63825,             0.66467,             0.24539,            0.050838,           0.0091047,                   0,           0.0084607,           0.0084607,           0.0084607
                  21,            0.048033,            0.011955,                   0,             0.71473,             0.62511,             0.65321,             0.23311,            0.052172,           0.0089984,                   0,           0.0083057,           0.0083057,           0.0083057
                  22,            0.047795,            0.011873,                   0,             0.74832,             0.62865,             0.66255,             0.23937,            0.051578,           0.0089926,                   0,            0.008145,            0.008145,            0.008145
                  23,            0.046944,            0.011709,                   0,              0.7356,             0.60831,             0.65424,             0.23509,            0.052793,           0.0090656,                   0,            0.007979,            0.007979,            0.007979
                  24,            0.046959,            0.011634,                   0,             0.73926,             0.60743,             0.65088,             0.23196,            0.052548,           0.0090329,                   0,            0.007808,            0.007808,            0.007808
                  25,            0.046678,            0.011556,                   0,             0.76934,             0.59572,             0.66101,              0.2461,            0.051222,           0.0089324,                   0,           0.0076324,           0.0076324,           0.0076324
                  26,            0.045858,            0.011401,                   0,             0.75007,             0.63218,             0.68104,             0.24704,            0.050958,           0.0090448,                   0,           0.0074525,           0.0074525,           0.0074525
                  27,            0.045649,            0.011396,                   0,             0.77091,             0.62599,             0.68437,             0.24756,            0.050738,           0.0090003,                   0,           0.0072686,           0.0072686,           0.0072686
                  28,             0.04503,            0.011045,                   0,             0.72573,             0.62233,             0.65769,             0.23463,            0.051986,           0.0090312,                   0,           0.0070812,           0.0070812,           0.0070812
                  29,            0.044985,            0.011278,                   0,             0.75874,             0.64633,             0.67759,             0.25828,            0.050548,            0.009015,                   0,           0.0068906,           0.0068906,           0.0068906
                  30,            0.044264,            0.011175,                   0,             0.75199,             0.65959,             0.69659,             0.26225,            0.050086,            0.008835,                   0,           0.0066972,           0.0066972,           0.0066972
                  31,             0.04389,            0.010817,                   0,             0.75843,             0.65252,             0.68256,             0.25233,            0.050631,           0.0088188,                   0,           0.0065013,           0.0065013,           0.0065013
                  32,            0.043405,              0.0108,                   0,             0.77518,             0.63042,             0.67053,             0.25059,            0.050813,           0.0090454,                   0,           0.0063035,           0.0063035,           0.0063035
                  33,            0.042743,            0.010823,                   0,             0.74162,             0.66998,              0.6869,             0.25109,            0.050777,           0.0089822,                   0,            0.006104,            0.006104,            0.006104
                  34,            0.042329,            0.010777,                   0,             0.77041,             0.64191,             0.68384,              0.2507,            0.050146,           0.0091107,                   0,           0.0059034,           0.0059034,           0.0059034
                  35,            0.041985,            0.010623,                   0,             0.73782,             0.67182,             0.69095,             0.25656,            0.050262,           0.0090522,                   0,           0.0057019,           0.0057019,           0.0057019
                  36,            0.041112,            0.010351,                   0,             0.77965,             0.65075,             0.70074,             0.26035,            0.050193,           0.0088595,                   0,              0.0055,              0.0055,              0.0055
                  37,            0.040844,            0.010295,                   0,             0.76572,             0.64444,             0.68259,             0.25596,            0.050699,            0.008918,                   0,           0.0052981,           0.0052981,           0.0052981
                  38,            0.040255,            0.010381,                   0,              0.7722,             0.64439,             0.66803,             0.24781,            0.050367,             0.00917,                   0,           0.0050966,           0.0050966,           0.0050966
                  39,            0.039439,            0.010027,                   0,             0.77129,             0.63218,             0.67058,             0.25367,            0.050338,           0.0090602,                   0,            0.004896,            0.004896,            0.004896
                  40,            0.039091,           0.0099226,                   0,             0.74119,             0.65871,             0.67777,             0.25774,            0.050681,           0.0090215,                   0,           0.0046965,           0.0046965,           0.0046965
                  41,            0.038917,           0.0099705,                   0,             0.81279,             0.63338,             0.70355,             0.25893,            0.050633,           0.0090382,                   0,           0.0044987,           0.0044987,           0.0044987
                  42,            0.038226,           0.0098611,                   0,             0.75426,              0.6649,             0.67994,             0.25871,             0.05033,           0.0089961,                   0,           0.0043028,           0.0043028,           0.0043028
                  43,            0.038409,            0.009667,                   0,             0.80272,             0.62423,             0.67342,             0.25394,            0.051078,           0.0091469,                   0,           0.0041094,           0.0041094,           0.0041094
                  44,            0.037657,           0.0094543,                   0,              0.7893,             0.65251,             0.70227,             0.26736,            0.050127,           0.0089808,                   0,           0.0039188,           0.0039188,           0.0039188
                  45,            0.037569,           0.0096193,                   0,             0.76312,             0.65871,             0.68401,             0.25604,             0.05046,           0.0090683,                   0,           0.0037314,           0.0037314,           0.0037314
                  46,            0.036919,           0.0094338,                   0,             0.77721,             0.63926,             0.68923,             0.26007,            0.049864,           0.0090643,                   0,           0.0035475,           0.0035475,           0.0035475
                  47,            0.036393,           0.0094216,                   0,             0.78434,             0.64987,             0.69298,             0.26205,            0.049909,           0.0090262,                   0,           0.0033676,           0.0033676,           0.0033676
                  48,            0.035788,           0.0092824,                   0,             0.76834,              0.6366,             0.67726,             0.25869,            0.050417,           0.0092003,                   0,            0.003192,            0.003192,            0.003192
                  49,            0.034997,           0.0091108,                   0,             0.78496,             0.64873,             0.69126,             0.26351,            0.050243,            0.009221,                   0,            0.003021,            0.003021,            0.003021
                  50,            0.034802,           0.0090573,                   0,              0.7751,             0.66127,             0.68849,             0.25658,            0.050131,           0.0092078,                   0,            0.002855,            0.002855,            0.002855
                  51,            0.034209,            0.008848,                   0,             0.77452,             0.65604,             0.68505,             0.26219,            0.049936,           0.0092152,                   0,           0.0026943,           0.0026943,           0.0026943
                  52,             0.03374,            0.008951,                   0,             0.76678,             0.67443,             0.69306,             0.26008,            0.050418,           0.0092811,                   0,           0.0025393,           0.0025393,           0.0025393
                  53,            0.033134,           0.0086023,                   0,             0.78561,             0.64152,             0.68546,             0.26475,            0.050158,           0.0092642,                   0,           0.0023902,           0.0023902,           0.0023902
                  54,            0.032835,           0.0085393,                   0,             0.78518,             0.65929,             0.69181,             0.26474,            0.050123,           0.0093092,                   0,           0.0022474,           0.0022474,           0.0022474
                  55,            0.032474,           0.0085384,                   0,             0.75495,             0.67905,              0.6999,             0.26755,            0.049917,           0.0093876,                   0,           0.0021112,           0.0021112,           0.0021112
                  56,            0.032038,           0.0083876,                   0,             0.76275,             0.66313,             0.69009,              0.2585,            0.050505,           0.0094077,                   0,           0.0019818,           0.0019818,           0.0019818
                  57,            0.031676,           0.0082631,                   0,             0.79183,             0.65246,             0.68947,             0.26215,            0.050415,           0.0094749,                   0,           0.0018594,           0.0018594,           0.0018594
                  58,            0.031416,           0.0082819,                   0,             0.79607,             0.64888,             0.68416,             0.26326,            0.050724,           0.0095011,                   0,           0.0017444,           0.0017444,           0.0017444
                  59,            0.031094,           0.0081408,                   0,             0.78323,             0.66131,             0.69439,             0.26574,            0.050551,           0.0095437,                   0,            0.001637,            0.001637,            0.001637
                  60,            0.030719,            0.008056,                   0,             0.77699,             0.65307,             0.68552,             0.26009,            0.050873,           0.0095755,                   0,           0.0015373,           0.0015373,           0.0015373
                  61,            0.030065,           0.0080272,                   0,             0.79068,             0.65517,             0.69152,             0.26363,            0.051184,           0.0095673,                   0,           0.0014456,           0.0014456,           0.0014456
                  62,            0.029895,           0.0078023,                   0,              0.7762,             0.67286,             0.69696,             0.26774,            0.050848,           0.0095302,                   0,           0.0013621,           0.0013621,           0.0013621
                  63,            0.029484,           0.0079145,                   0,             0.77327,             0.66048,             0.68732,             0.26559,            0.051068,           0.0097091,                   0,           0.0012869,           0.0012869,           0.0012869
                  64,            0.029248,           0.0078178,                   0,             0.76898,             0.67109,              0.6936,             0.26755,            0.050971,           0.0097392,                   0,           0.0012202,           0.0012202,           0.0012202
