               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11304,            0.051479,            0.028913,            0.098345,            0.044044,            0.016628,           0.0032965,            0.076022,            0.034103,            0.018214,             0.00015,             0.00015,             0.09865
                   1,             0.09626,            0.041035,            0.028605,            0.053243,            0.095768,            0.028968,           0.0063985,            0.052514,            0.034281,            0.016988,          0.00030998,          0.00030998,             0.09721
                   2,            0.089079,            0.043149,            0.027728,            0.078503,             0.28056,            0.084132,            0.024947,            0.047338,            0.031377,            0.016061,           0.0004699,           0.0004699,             0.09577
                   3,            0.077591,            0.043151,            0.026187,               0.243,             0.60172,              0.2496,            0.067399,            0.041158,            0.028545,            0.014606,          0.00062969,          0.00062969,             0.09433
                   4,            0.073126,            0.041873,            0.024156,             0.49153,             0.65486,             0.46852,             0.18653,             0.03671,            0.025313,            0.013643,           0.0007893,           0.0007893,            0.092889
                   5,            0.066176,            0.037357,            0.022572,             0.70436,             0.71034,              0.7519,              0.3276,            0.029041,            0.023278,            0.012508,          0.00094868,          0.00094868,            0.091449
                   6,             0.05954,            0.034809,            0.021637,             0.83601,             0.72105,             0.81577,             0.34287,              0.0269,            0.019743,            0.010449,           0.0011078,           0.0011078,            0.090008
                   7,            0.056182,            0.035047,            0.018317,             0.85554,             0.80447,             0.85248,             0.37134,            0.023994,            0.017802,           0.0089055,           0.0012665,           0.0012665,            0.088567
                   8,            0.053705,            0.032528,            0.015947,             0.82654,              0.8047,             0.86881,             0.46573,             0.02334,            0.015949,           0.0071468,           0.0014249,           0.0014249,            0.087125
                   9,            0.053137,            0.031443,            0.013327,             0.87358,             0.83966,             0.91842,             0.56652,            0.021811,            0.015136,            0.005816,           0.0015829,           0.0015829,            0.085683
                  10,            0.056301,            0.029818,            0.010118,             0.55066,             0.72712,             0.60147,             0.22119,            0.040092,            0.014503,           0.0042725,           0.0017403,           0.0017403,             0.08424
                  11,            0.053155,            0.029621,           0.0089995,             0.82977,             0.73303,             0.85949,             0.40239,            0.030002,            0.014236,           0.0031725,           0.0018972,           0.0018972,            0.082797
                  12,            0.051375,             0.02798,           0.0075431,             0.81996,             0.80024,             0.89956,             0.23525,             0.03918,            0.013573,           0.0031029,           0.0020535,           0.0020535,            0.081354
                  13,            0.051445,            0.026796,           0.0069271,              0.6727,             0.71405,             0.75154,              0.3325,            0.031114,            0.013928,           0.0025498,           0.0022092,           0.0022092,            0.079909
                  14,             0.05206,            0.026473,           0.0071819,             0.96296,             0.82805,             0.90536,             0.42636,            0.031682,             0.01354,           0.0027574,           0.0023641,           0.0023641,            0.078464
                  15,            0.050705,             0.02641,           0.0064427,             0.74743,             0.81358,             0.82352,             0.48687,            0.032637,            0.013292,           0.0029724,           0.0025183,           0.0025183,            0.077018
                  16,            0.051111,            0.022761,           0.0055678,             0.71046,              0.7627,             0.78269,             0.20745,            0.031686,            0.012586,            0.002629,           0.0026717,           0.0026717,            0.075572
                  17,            0.049699,            0.026142,           0.0056336,             0.84716,             0.76301,             0.87961,             0.51435,            0.033236,            0.011761,           0.0024039,           0.0028242,           0.0028242,            0.074124
                  18,            0.047773,            0.026229,           0.0058097,             0.49028,             0.77529,             0.63259,             0.22557,            0.040897,            0.011884,           0.0024755,           0.0029759,           0.0029759,            0.072676
                  19,            0.051762,            0.025135,            0.005253,             0.65477,             0.77787,             0.79444,             0.29629,            0.035013,            0.011609,           0.0021104,           0.0031265,           0.0031265,            0.071227
                  20,            0.049469,            0.026272,           0.0044996,             0.56471,             0.87508,              0.6563,             0.25619,            0.035634,            0.011639,           0.0020411,           0.0032762,           0.0032762,            0.069776
                  21,            0.049226,            0.025819,           0.0043324,             0.59435,             0.64091,             0.69955,             0.38516,            0.031586,            0.011601,           0.0019524,           0.0034248,           0.0034248,            0.068325
                  22,             0.04879,            0.024263,           0.0047539,             0.89307,             0.83144,             0.91437,             0.49797,            0.030145,            0.011327,            0.002102,           0.0035724,           0.0035724,            0.066872
                  23,             0.05016,            0.023812,           0.0049662,             0.95087,             0.97666,             0.98831,             0.54483,            0.024026,            0.011284,           0.0020452,           0.0037187,           0.0037187,            0.065419
                  24,            0.046735,            0.025229,           0.0051277,             0.94396,             0.96411,              0.9844,              0.7518,            0.019728,            0.010478,           0.0018496,           0.0038639,           0.0038639,            0.063964
                  25,            0.044408,            0.024763,           0.0046182,              0.7696,             0.86646,             0.88032,             0.41187,            0.026698,            0.011205,           0.0019931,           0.0040078,           0.0040078,            0.062508
                  26,            0.045072,            0.023503,           0.0039612,             0.72298,             0.85773,             0.84653,             0.42974,            0.028313,            0.010713,           0.0017642,           0.0041505,           0.0041505,             0.06105
                  27,            0.041719,            0.023429,           0.0035218,             0.57771,             0.79514,             0.68391,             0.22593,            0.032007,            0.010833,           0.0018333,           0.0042918,           0.0042918,            0.059592
                  28,            0.042912,              0.0243,           0.0037311,             0.92262,             0.79186,             0.93493,             0.54483,            0.027289,           0.0098901,            0.001671,           0.0044317,           0.0044317,            0.058132
                  29,            0.041674,            0.021429,           0.0035783,             0.93231,             0.99999,              0.9851,             0.66604,            0.018103,            0.010151,            0.001853,           0.0045702,           0.0045702,             0.05667
                  30,            0.041209,             0.02442,           0.0032211,             0.97213,             0.90133,             0.96307,             0.52091,            0.021956,            0.010223,           0.0016461,           0.0047072,           0.0047072,            0.055207
                  31,            0.046056,            0.022632,           0.0041998,             0.84035,             0.86787,             0.91064,              0.5945,            0.027127,            0.010822,           0.0018812,           0.0048427,           0.0048427,            0.053743
                  32,            0.043917,            0.023752,           0.0041412,             0.95463,             0.88065,             0.96797,             0.56917,             0.01994,            0.010076,           0.0020555,           0.0049767,           0.0049767,            0.052277
                  33,             0.04368,            0.024673,           0.0035584,             0.95983,             0.91892,             0.97174,             0.53952,            0.023764,           0.0095994,           0.0018017,            0.005109,            0.005109,            0.050809
                  34,            0.040987,            0.022857,            0.005031,             0.97065,             0.98223,              0.9855,             0.62365,            0.019739,             0.01016,             0.00181,           0.0052397,           0.0052397,             0.04934
                  35,            0.041551,            0.022356,           0.0040547,             0.89104,             0.81299,             0.94958,             0.39418,            0.026711,            0.010136,           0.0016265,           0.0053687,           0.0053687,            0.047869
                  36,            0.039177,            0.022067,           0.0042164,             0.79567,             0.98229,             0.93575,             0.66792,             0.01881,           0.0098495,           0.0017583,            0.005496,            0.005496,            0.046396
                  37,            0.042629,            0.022781,           0.0036028,             0.94215,             0.97024,             0.95713,             0.67594,             0.01888,           0.0099218,           0.0017755,           0.0056215,           0.0056215,            0.044922
                  38,            0.038165,            0.023169,           0.0043664,              0.9787,             0.97315,             0.98552,             0.73892,            0.015369,           0.0093851,           0.0018047,           0.0057452,           0.0057452,            0.043445
                  39,            0.040655,             0.02414,            0.003617,             0.85625,             0.96202,             0.97935,             0.70638,             0.01793,             0.01011,           0.0017658,           0.0058671,           0.0058671,            0.041967
                  40,            0.036991,            0.024617,           0.0038047,             0.77018,             0.97288,             0.92972,             0.48277,            0.019966,            0.010326,           0.0018513,           0.0059871,           0.0059871,            0.040487
                  41,            0.036853,            0.021394,           0.0036269,             0.98201,               0.969,             0.99059,             0.74237,            0.014563,           0.0093795,            0.001702,           0.0061051,           0.0061051,            0.039005
                  42,            0.037351,            0.021763,           0.0038797,             0.95807,             0.97924,             0.98715,             0.72721,            0.017569,           0.0096993,           0.0016273,           0.0062213,           0.0062213,            0.037521
                  43,             0.03863,            0.022873,           0.0046398,             0.96578,             0.98047,             0.98901,             0.70284,            0.017232,            0.009749,           0.0016818,           0.0063354,           0.0063354,            0.036035
                  44,            0.041144,            0.021435,           0.0070693,             0.96581,             0.97553,             0.98511,             0.78373,            0.015821,            0.010538,           0.0019094,           0.0064475,           0.0064475,            0.034547
                  45,            0.037467,            0.022499,           0.0043501,             0.99091,             0.96411,               0.992,             0.79503,            0.014143,           0.0092351,           0.0016816,           0.0065575,           0.0065575,            0.033058
                  46,            0.035027,            0.021921,           0.0032735,             0.97318,             0.93127,             0.97943,             0.74865,            0.021129,           0.0095528,           0.0015409,           0.0066655,           0.0066655,            0.031566
                  47,            0.037827,              0.0221,           0.0033139,             0.95715,             0.98626,             0.98452,             0.73791,            0.015098,           0.0099938,           0.0015207,           0.0067713,           0.0067713,            0.030071
                  48,            0.036081,            0.023387,           0.0035028,             0.97333,             0.97784,             0.97617,             0.72669,            0.014989,             0.01031,           0.0016003,            0.006875,            0.006875,            0.028575
                  49,            0.035768,            0.021825,           0.0043403,             0.97386,             0.97749,             0.98873,             0.76848,             0.01522,            0.010578,           0.0014201,           0.0069765,           0.0069765,            0.027077
                  50,            0.029336,            0.021035,           0.0033667,             0.72757,             0.97401,             0.97147,             0.66919,            0.015584,             0.01162,            0.010212,           0.0070758,           0.0070758,            0.025576
                  51,            0.032638,            0.021058,           0.0032599,             0.76101,              0.9732,             0.97598,             0.68271,            0.013751,           0.0096892,           0.0099794,           0.0071729,           0.0071729,            0.024073
                  52,             0.03504,            0.022546,           0.0035038,             0.93159,              0.9732,             0.94395,             0.74356,            0.016149,           0.0098459,           0.0031879,           0.0072677,           0.0072677,            0.022568
                  53,            0.031092,             0.01977,           0.0030946,             0.97227,             0.91143,             0.96663,             0.64654,            0.018029,           0.0090685,           0.0017141,           0.0073601,           0.0073601,             0.02106
                  54,            0.034922,            0.020017,           0.0030722,             0.94867,              0.9645,             0.98002,              0.7578,            0.019738,           0.0095954,           0.0014782,           0.0074503,           0.0074503,             0.01955
                  55,            0.037129,            0.020635,           0.0034569,             0.95797,             0.97482,             0.98349,              0.5732,            0.022939,           0.0093925,           0.0013762,           0.0075382,           0.0075382,            0.018038
                  56,            0.038026,            0.021325,           0.0026555,             0.97803,             0.97318,              0.9904,             0.76187,            0.012855,           0.0092306,           0.0014725,           0.0076236,           0.0076236,            0.016524
                  57,            0.034996,            0.023108,           0.0037551,             0.98084,             0.98229,             0.98941,             0.66714,            0.017222,            0.010028,           0.0014286,           0.0077067,           0.0077067,            0.015007
                  58,            0.041531,             0.02119,           0.0026761,             0.90314,             0.98229,              0.9822,             0.71981,            0.017929,           0.0096691,           0.0014427,           0.0077874,           0.0077874,            0.013487
