               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11111,            0.043223,            0.028501,            0.017488,            0.035423,           0.0086897,           0.0014142,            0.075731,            0.032683,             0.01851,             0.00015,             0.00015,             0.09865
                   1,            0.094055,            0.046713,             0.02922,            0.064074,             0.18621,            0.037936,           0.0063741,            0.055111,            0.034426,            0.017909,          0.00030998,          0.00030998,             0.09721
                   2,            0.082611,            0.049838,            0.029958,             0.26118,             0.39687,             0.25103,            0.060776,            0.036916,            0.034764,            0.016675,           0.0004699,           0.0004699,             0.09577
                   3,            0.065808,            0.049265,            0.026398,             0.44117,             0.66868,             0.53208,               0.173,            0.032352,            0.030329,            0.015742,          0.00062969,          0.00062969,             0.09433
                   4,            0.060572,            0.046346,            0.025339,             0.69907,             0.60361,             0.69392,             0.32279,            0.027144,             0.02671,            0.014659,           0.0007893,           0.0007893,            0.092889
                   5,            0.052999,            0.039839,            0.024863,             0.71582,             0.57203,             0.70189,             0.33672,            0.022532,            0.022142,            0.013648,          0.00094868,          0.00094868,            0.091449
                   6,            0.046498,            0.035672,             0.02115,             0.76345,             0.74151,             0.82385,             0.49359,            0.021163,             0.01818,            0.012716,           0.0011078,           0.0011078,            0.090008
                   7,            0.044416,            0.034305,            0.021916,             0.90189,             0.83387,             0.92002,             0.58055,            0.019332,            0.015835,            0.010828,           0.0012665,           0.0012665,            0.088567
                   8,            0.046775,             0.03171,            0.021911,             0.73623,             0.82147,             0.81021,             0.47243,            0.024979,            0.014917,            0.009502,           0.0014249,           0.0014249,            0.087125
                   9,            0.045897,            0.029821,            0.019909,             0.83329,             0.88971,             0.91516,             0.62898,            0.018725,            0.013609,           0.0062786,           0.0015829,           0.0015829,            0.085683
                  10,            0.050364,            0.030467,            0.018428,             0.56924,             0.79016,             0.64041,             0.23781,            0.034703,            0.014299,           0.0047791,           0.0017403,           0.0017403,             0.08424
                  11,            0.050749,             0.02974,            0.016356,             0.50031,             0.71426,             0.63199,             0.13587,            0.039282,            0.013567,           0.0032281,           0.0018972,           0.0018972,            0.082797
                  12,            0.050348,            0.028322,            0.013257,             0.81248,             0.65392,             0.78635,             0.24482,            0.036949,            0.013014,           0.0024341,           0.0020535,           0.0020535,            0.081354
                  13,            0.052968,            0.027097,            0.010294,             0.82015,             0.72497,             0.82384,             0.33077,             0.03005,            0.012562,           0.0023092,           0.0022092,           0.0022092,            0.079909
                  14,             0.04776,            0.027173,           0.0087209,             0.63009,             0.79373,             0.76279,             0.26235,            0.031896,            0.012493,           0.0026214,           0.0023641,           0.0023641,            0.078464
                  15,            0.048723,            0.027683,           0.0073027,             0.67339,             0.75776,             0.81352,             0.27237,            0.029979,            0.012098,             0.00225,           0.0025183,           0.0025183,            0.077018
                  16,            0.049266,            0.025592,           0.0069992,             0.76137,              0.8837,             0.83269,             0.25763,            0.038209,            0.011494,           0.0020459,           0.0026717,           0.0026717,            0.075572
                  17,            0.044483,            0.024897,           0.0056665,             0.80398,             0.87284,              0.8809,             0.32525,            0.032693,            0.011345,           0.0020507,           0.0028242,           0.0028242,            0.074124
                  18,            0.045471,            0.024497,           0.0054145,             0.97319,             0.89182,             0.97014,             0.43423,            0.028272,            0.010951,           0.0019247,           0.0029759,           0.0029759,            0.072676
                  19,            0.040957,            0.024362,           0.0055909,             0.94146,             0.88668,             0.95273,             0.54618,             0.02335,             0.01086,           0.0020284,           0.0031265,           0.0031265,            0.071227
                  20,            0.043507,            0.024402,           0.0064511,             0.78145,             0.83437,             0.91421,             0.54494,            0.020601,            0.010512,           0.0020027,           0.0032762,           0.0032762,            0.069776
                  21,            0.039902,            0.023301,           0.0057666,             0.94106,             0.92864,             0.96984,             0.62189,             0.02233,            0.010239,            0.002009,           0.0034248,           0.0034248,            0.068325
                  22,            0.042723,             0.02436,           0.0042904,             0.94921,             0.96959,             0.99085,             0.74377,             0.02071,            0.010229,           0.0020108,           0.0035724,           0.0035724,            0.066872
                  23,            0.040009,             0.02183,           0.0042446,             0.95014,             0.99839,             0.99327,             0.54383,            0.024161,            0.010507,           0.0020706,           0.0037187,           0.0037187,            0.065419
                  24,            0.041061,            0.022353,           0.0042221,             0.90315,              0.9549,              0.9635,             0.76336,            0.020024,            0.010176,           0.0019224,           0.0038639,           0.0038639,            0.063964
                  25,            0.044706,            0.022546,           0.0047381,             0.95937,             0.91289,             0.97021,             0.42636,            0.029616,            0.010121,           0.0018408,           0.0040078,           0.0040078,            0.062508
                  26,            0.044367,            0.021942,           0.0055431,             0.95505,             0.94712,             0.98408,             0.64343,            0.020626,            0.010131,           0.0017547,           0.0041505,           0.0041505,             0.06105
